,song_number,song_name,song_root_note,song_mode
49,49,after mid-term\dataset\295\borodin\bor_ps3.mid,C,Ionian
50,50,after mid-term\dataset\295\borodin\bor_ps4.mid,C#,Ionian
51,51,after mid-term\dataset\295\borodin\bor_ps5.mid,C#,Ionian
52,52,after mid-term\dataset\295\borodin\bor_ps6.mid,C#,Ionian
53,53,after mid-term\dataset\295\borodin\bor_ps7.mid,F#,Lydian
54,54,after mid-term\dataset\295\brahms\brahms_opus117_1.mid,E-,Ionian
55,55,after mid-term\dataset\295\brahms\brahms_opus117_2.mid,b-,Aeolian
56,56,after mid-term\dataset\295\brahms\brahms_opus1_1.mid,C,Ionian
57,57,after mid-term\dataset\295\brahms\brahms_opus1_2.mid,c,Dorian
58,58,after mid-term\dataset\295\brahms\brahms_opus1_3.mid,NANN,NANN
59,59,after mid-term\dataset\295\brahms\brahms_opus1_4.mid,a,Aeolian
60,60,after mid-term\dataset\295\brahms\br_im2.mid,a,Aeolian
61,61,after mid-term\dataset\295\brahms\br_im5.mid,e,Harmonic_minor
62,62,after mid-term\dataset\295\brahms\BR_IM6.MID,E,Ionian
63,63,after mid-term\dataset\295\brahms\br_rhap.mid,E-,Ionian
64,64,after mid-term\dataset\295\burgm\burg_agitato.mid,e,Aeolian
65,65,after mid-term\dataset\295\burgm\burg_erwachen.mid,F,Ionian
66,66,after mid-term\dataset\295\burgm\burg_geschwindigkeit.mid,C,Ionian
67,67,after mid-term\dataset\295\burgm\burg_gewitter.mid,d,Harmonic_minor
68,68,after mid-term\dataset\295\burgm\burg_perlen.mid,C,Ionian
69,69,after mid-term\dataset\295\burgm\burg_quelle.mid,G,Ionian
70,70,after mid-term\dataset\295\burgm\burg_spinnerlied.mid,D,Ionian
71,71,after mid-term\dataset\295\burgm\burg_sylphen.mid,g,Dorian
72,72,after mid-term\dataset\295\burgm\burg_trennung.mid,E-,Ionian
73,73,after mid-term\dataset\295\chopin\chpn-p1.mid,C,Ionian
74,74,after mid-term\dataset\295\chopin\chpn-p10.mid,c#,Aeolian
75,75,after mid-term\dataset\295\chopin\chpn-p11.mid,B,Ionian
76,76,after mid-term\dataset\295\chopin\chpn-p12.mid,g#,Aeolian
77,77,after mid-term\dataset\295\chopin\chpn-p13.mid,F#,Ionian
78,78,after mid-term\dataset\295\chopin\chpn-p14.mid,e-,Harmonic_minor
79,79,after mid-term\dataset\295\chopin\chpn-p15.mid,C#,Harmonic_minor
80,80,after mid-term\dataset\295\chopin\chpn-p16.mid,b-,Harmonic_minor
81,81,after mid-term\dataset\295\chopin\chpn-p17.mid,A-,Melodic_minor_ascend
82,82,after mid-term\dataset\295\chopin\chpn-p18.mid,f,Aeolian
83,83,after mid-term\dataset\295\chopin\chpn-p19.mid,E-,Ionian
84,84,after mid-term\dataset\295\chopin\chpn-p2.mid,a,Dorian
85,85,after mid-term\dataset\295\chopin\chpn-p20.mid,c,Harmonic_minor
86,86,after mid-term\dataset\295\chopin\chpn-p21.mid,e-,Harmonic_minor
87,87,after mid-term\dataset\295\chopin\chpn-p22.mid,g,Dorian
88,88,after mid-term\dataset\295\chopin\chpn-p23.mid,F,Ionian
89,89,after mid-term\dataset\295\chopin\chpn-p24.mid,d,Dorian
90,90,after mid-term\dataset\295\chopin\chpn-p3.mid,G,Ionian
91,91,after mid-term\dataset\295\chopin\chpn-p4.mid,e,Aeolian
92,92,after mid-term\dataset\295\chopin\chpn-p5.mid,D,Ionian
93,93,after mid-term\dataset\295\chopin\chpn-p6.mid,b,Harmonic_minor
94,94,after mid-term\dataset\295\chopin\chpn-p7.mid,A,Ionian
95,95,after mid-term\dataset\295\chopin\chpn-p8.mid,f#,Harmonic_minor
96,96,after mid-term\dataset\295\chopin\chpn-p9.mid,e,Melodic_minor_ascend
97,97,after mid-term\dataset\295\chopin\chpn_op10_e01.mid,C,Ionian
98,98,after mid-term\dataset\295\chopin\chpn_op10_e05.mid,F#,Ionian
99,99,after mid-term\dataset\295\chopin\chpn_op10_e12.mid,c,Harmonic_minor
100,100,after mid-term\dataset\295\chopin\chpn_op23.mid,g,Phrygian
101,101,after mid-term\dataset\295\chopin\chpn_op25_e1.mid,A-,Ionian
102,102,after mid-term\dataset\295\chopin\chpn_op25_e11.mid,a,Aeolian
103,103,after mid-term\dataset\295\chopin\chpn_op25_e12.mid,c,Dorian
104,104,after mid-term\dataset\295\chopin\chpn_op25_e2.mid,f,Aeolian
105,105,after mid-term\dataset\295\chopin\chpn_op25_e3.mid,F,Locrian
106,106,after mid-term\dataset\295\chopin\chpn_op25_e4.mid,a,Harmonic_minor
107,107,after mid-term\dataset\295\chopin\chpn_op27_1.mid,c#,Harmonic_minor
108,108,after mid-term\dataset\295\chopin\chpn_op27_2.mid,C#,Ionian
109,109,after mid-term\dataset\295\chopin\chpn_op33_2.mid,NANN,NANN
110,110,after mid-term\dataset\295\chopin\chpn_op33_4.mid,B,Harmonic_minor
111,111,after mid-term\dataset\295\chopin\chpn_op35_1.mid,b-,Aeolian
112,112,after mid-term\dataset\295\chopin\chpn_op35_2.mid,NANN,NANN
113,113,after mid-term\dataset\295\chopin\chpn_op35_3.mid,b-,Aeolian
114,114,after mid-term\dataset\295\chopin\chpn_op35_4.mid,b-,Harmonic_minor
115,115,after mid-term\dataset\295\chopin\chpn_op53.mid,A-,Ionian
116,116,after mid-term\dataset\295\chopin\chpn_op66.mid,C#,Harmonic_minor
117,117,after mid-term\dataset\295\chopin\chpn_op7_1.mid,B-,Ionian
118,118,after mid-term\dataset\295\chopin\chpn_op7_2.mid,a,Ionian
119,119,after mid-term\dataset\295\chopin\chp_op18.mid,A-,Ionian
120,120,after mid-term\dataset\295\chopin\chp_op31.mid,C#,Ionian
121,121,after mid-term\dataset\295\debussy\debussy_cc_1.mid,C,Ionian
122,122,after mid-term\dataset\295\debussy\debussy_cc_2.mid,c,Dorian
123,123,after mid-term\dataset\295\debussy\debussy_cc_3.mid,c#,Dorian
124,124,after mid-term\dataset\295\debussy\debussy_cc_4.mid,g,Dorian
125,125,after mid-term\dataset\295\debussy\debussy_cc_6.mid,b-,Dorian
126,126,after mid-term\dataset\295\debussy\DEB_CLAI.MID,C#,Ionian
127,127,after mid-term\dataset\295\debussy\deb_menu.mid,d,Mixolydian
128,128,after mid-term\dataset\295\debussy\DEB_PASS.MID,f#,Aeolian
129,129,after mid-term\dataset\295\debussy\deb_prel.mid,F,Ionian
130,130,after mid-term\dataset\295\granados\gra_esp_2.mid,c,Aeolian
131,131,after mid-term\dataset\295\granados\gra_esp_3.mid,D,Ionian
132,132,after mid-term\dataset\295\granados\gra_esp_4.mid,G,Dorian
133,133,after mid-term\dataset\295\grieg\grieg_album.mid,F,Ionian
134,134,after mid-term\dataset\295\grieg\grieg_berceuse.mid,G,Ionian
135,135,after mid-term\dataset\295\grieg\grieg_brooklet.mid,b,Harmonic_minor
136,136,after mid-term\dataset\295\grieg\grieg_butterfly.mid,f#,Aeolian
137,137,after mid-term\dataset\295\grieg\grieg_elfentanz.mid,e,Dorian
138,138,after mid-term\dataset\295\grieg\grieg_halling.mid,g,Harmonic_minor
139,139,after mid-term\dataset\295\grieg\grieg_kobold.mid,e-,Bhairav
140,140,after mid-term\dataset\295\grieg\grieg_march.mid,C,Ionian
141,141,after mid-term\dataset\295\grieg\grieg_once_upon_a_time.mid,e,Phrygian
142,142,after mid-term\dataset\295\grieg\grieg_spring.mid,F#,Ionian
143,143,after mid-term\dataset\295\grieg\grieg_voeglein.mid,d,Aeolian
144,144,after mid-term\dataset\295\grieg\grieg_waechter.mid,E,Ionian
145,145,after mid-term\dataset\295\grieg\grieg_walzer.mid,a,Melodic_minor_ascend
146,146,after mid-term\dataset\295\grieg\grieg_wanderer.mid,b,Aeolian
147,147,after mid-term\dataset\295\grieg\grieg_wedding.mid,G,Bhairav
148,148,after mid-term\dataset\295\grieg\grieg_zwerge.mid,d,Aeolian
149,149,after mid-term\dataset\295\haydn\haydn_33_1.mid,D,Ionian
150,150,after mid-term\dataset\295\haydn\haydn_33_2.mid,F,Ionian
151,151,after mid-term\dataset\295\haydn\haydn_33_3.mid,d,Harmonic_minor
152,152,after mid-term\dataset\295\haydn\haydn_35_1.mid,C,Ionian
153,153,after mid-term\dataset\295\haydn\haydn_35_2.mid,F,Ionian
154,154,after mid-term\dataset\295\haydn\haydn_35_3.mid,C,Ionian
155,155,after mid-term\dataset\295\haydn\haydn_43_1.mid,A-,Ionian
156,156,after mid-term\dataset\295\haydn\haydn_43_2.mid,A-,Ionian
157,157,after mid-term\dataset\295\haydn\haydn_43_3.mid,A-,Ionian
158,158,after mid-term\dataset\295\haydn\haydn_7_1.mid,C,Ionian
159,159,after mid-term\dataset\295\haydn\haydn_7_2.mid,C,Harmonic_minor
160,160,after mid-term\dataset\295\haydn\haydn_7_3.mid,C,Ionian
161,161,after mid-term\dataset\295\haydn\haydn_8_1.mid,G,Ionian
162,162,after mid-term\dataset\295\haydn\haydn_8_2.mid,G,Ionian
163,163,after mid-term\dataset\295\haydn\haydn_8_3.mid,G,Ionian
164,164,after mid-term\dataset\295\haydn\haydn_8_4.mid,G,Ionian
165,165,after mid-term\dataset\295\haydn\haydn_9_1.mid,F,Ionian
166,166,after mid-term\dataset\295\haydn\haydn_9_2.mid,F,Ionian
167,167,after mid-term\dataset\295\haydn\haydn_9_3.mid,F,Ionian
168,168,after mid-term\dataset\295\haydn\hay_40_1.mid,G,Ionian
169,169,after mid-term\dataset\295\haydn\hay_40_2.mid,G,Ionian
170,170,after mid-term\dataset\295\liszt\liz_donjuan.mid,d,Melodic_minor_ascend
171,171,after mid-term\dataset\295\liszt\liz_et1.mid,g,Aeolian
172,172,after mid-term\dataset\295\liszt\liz_et2.mid,E-,Ionian
173,173,after mid-term\dataset\295\liszt\liz_et3.mid,g#,Aeolian
174,174,after mid-term\dataset\295\liszt\liz_et4.mid,E,Harmonic_minor
175,175,after mid-term\dataset\295\liszt\liz_et5.mid,E,Dorian
176,176,after mid-term\dataset\295\liszt\liz_et6.mid,a,Harmonic_minor
177,177,after mid-term\dataset\295\liszt\liz_et_trans4.mid,d,Harmonic_minor
178,178,after mid-term\dataset\295\liszt\liz_et_trans5.mid,B-,Ionian
179,179,after mid-term\dataset\295\liszt\liz_et_trans8.mid,c,Harmonic_minor
180,180,after mid-term\dataset\295\liszt\liz_liebestraum.mid,A-,Ionian
181,181,after mid-term\dataset\295\liszt\liz_rhap02.mid,F#,Ionian
182,182,after mid-term\dataset\295\liszt\liz_rhap09.mid,E-,Harmonic_minor
183,183,after mid-term\dataset\295\liszt\liz_rhap10.mid,E,Ionian
184,184,after mid-term\dataset\295\liszt\liz_rhap12.mid,c#,Dorian
185,185,after mid-term\dataset\295\liszt\liz_rhap15.mid,a,Ionian
186,186,after mid-term\dataset\295\mendelssohn\mendel_op19_1.mid,E,Ionian
187,187,after mid-term\dataset\295\mendelssohn\mendel_op19_2.mid,NANN,NANN
188,188,after mid-term\dataset\295\mendelssohn\mendel_op19_3.mid,A,Ionian
189,189,after mid-term\dataset\295\mendelssohn\mendel_op19_4.mid,A,Ionian
190,190,after mid-term\dataset\295\mendelssohn\mendel_op19_5.mid,f#,Aeolian
191,191,after mid-term\dataset\295\mendelssohn\mendel_op19_6.mid,g,Aeolian
192,192,after mid-term\dataset\295\mendelssohn\mendel_op30_1.mid,E-,Ionian
193,193,after mid-term\dataset\295\mendelssohn\mendel_op30_2.mid,b-,Harmonic_minor
194,194,after mid-term\dataset\295\mendelssohn\mendel_op30_3.mid,E,Ionian
195,195,after mid-term\dataset\295\mendelssohn\mendel_op30_4.mid,b,Aeolian
196,196,after mid-term\dataset\295\mendelssohn\mendel_op30_5.mid,b,Dorian
197,197,after mid-term\dataset\295\mendelssohn\mendel_op53_5.mid,a,Harmonic_minor
198,198,after mid-term\dataset\295\mendelssohn\mendel_op62_3.mid,e,Aeolian
199,199,after mid-term\dataset\295\mendelssohn\mendel_op62_4.mid,G,Ionian
200,200,after mid-term\dataset\295\mendelssohn\mendel_op62_5.mid,a,Harmonic_minor
201,201,after mid-term\dataset\295\mozart\mz_311_1.mid,D,Ionian
202,202,after mid-term\dataset\295\mozart\mz_311_2.mid,G,Ionian
203,203,after mid-term\dataset\295\mozart\mz_311_3.mid,D,Ionian
204,204,after mid-term\dataset\295\mozart\mz_330_1.mid,C,Ionian
205,205,after mid-term\dataset\295\mozart\mz_330_2.mid,F,Ionian
206,206,after mid-term\dataset\295\mozart\mz_330_3.mid,C,Ionian
207,207,after mid-term\dataset\295\mozart\mz_331_1.mid,A,Ionian
208,208,after mid-term\dataset\295\mozart\mz_331_2.mid,A,Ionian
209,209,after mid-term\dataset\295\mozart\mz_331_3.mid,A,Harmonic_minor
210,210,after mid-term\dataset\295\mozart\mz_332_1.mid,F,Ionian
211,211,after mid-term\dataset\295\mozart\mz_332_2.mid,B-,Ionian
212,212,after mid-term\dataset\295\mozart\mz_332_3.mid,F,Ionian
213,213,after mid-term\dataset\295\mozart\mz_333_1.mid,B-,Ionian
214,214,after mid-term\dataset\295\mozart\mz_333_2.mid,E-,Ionian
215,215,after mid-term\dataset\295\mozart\mz_333_3.mid,B-,Ionian
216,216,after mid-term\dataset\295\mozart\mz_545_1.mid,C,Ionian
217,217,after mid-term\dataset\295\mozart\mz_545_2.mid,G,Ionian
218,218,after mid-term\dataset\295\mozart\mz_545_3.mid,C,Ionian
219,219,after mid-term\dataset\295\mozart\mz_570_1.mid,B-,Ionian
220,220,after mid-term\dataset\295\mozart\mz_570_2.mid,E-,Ionian
221,221,after mid-term\dataset\295\mozart\mz_570_3.mid,B-,Ionian
222,222,after mid-term\dataset\295\muss\muss_1.mid,E-,Lydian
223,223,after mid-term\dataset\295\muss\muss_2.mid,g#,Aeolian
224,224,after mid-term\dataset\295\muss\muss_3.mid,B,Ionian
225,225,after mid-term\dataset\295\muss\muss_4.mid,g#,Phrygian
226,226,after mid-term\dataset\295\muss\muss_5.mid,F,Poorvi
227,227,after mid-term\dataset\295\muss\muss_6.mid,F#,Harmonic_minor
228,228,after mid-term\dataset\295\muss\muss_7.mid,D,Phrygian
229,229,after mid-term\dataset\295\muss\muss_8.mid,E-,Ionian
230,230,after mid-term\dataset\295\schubert\schubert_D850_1.mid,D,Harmonic_minor
231,231,after mid-term\dataset\295\schubert\schubert_D850_2.mid,A,Mixolydian
232,232,after mid-term\dataset\295\schubert\schubert_D850_3.mid,D,Ionian
233,233,after mid-term\dataset\295\schubert\schubert_D850_4.mid,D,Ionian
234,234,after mid-term\dataset\295\schubert\schubert_D935_1.mid,f,Aeolian
235,235,after mid-term\dataset\295\schubert\schubert_D935_2.mid,A-,Phrygian
236,236,after mid-term\dataset\295\schubert\schubert_D935_3.mid,B-,Harmonic_minor
237,237,after mid-term\dataset\295\schubert\schubert_D935_4.mid,A-,Ionian
238,238,after mid-term\dataset\295\schubert\schub_d760_1.mid,C,Ionian
239,239,after mid-term\dataset\295\schubert\schub_d760_2.mid,c#,Aeolian
240,240,after mid-term\dataset\295\schubert\schub_d760_3.mid,NANN,NANN
241,241,after mid-term\dataset\295\schubert\schub_d760_4.mid,C,Ionian
242,242,after mid-term\dataset\295\schubert\schub_d960_1.mid,B-,Harmonic_minor
243,243,after mid-term\dataset\295\schubert\schub_d960_2.mid,c#,Phrygian
244,244,after mid-term\dataset\295\schubert\schub_d960_3.mid,b-,Dorian
245,245,after mid-term\dataset\295\schubert\schub_d960_4.mid,B-,Ionian
246,246,after mid-term\dataset\295\schubert\schuim-1.mid,c,Aeolian
247,247,after mid-term\dataset\295\schubert\schuim-2.mid,e-,Harmonic_minor
248,248,after mid-term\dataset\295\schubert\schuim-3.mid,F#,Ionian
249,249,after mid-term\dataset\295\schubert\schuim-4.mid,c#,Melodic_minor_ascend
250,250,after mid-term\dataset\295\schubert\schumm-1.mid,G,Ionian
251,251,after mid-term\dataset\295\schubert\schumm-2.mid,A-,Dorian
252,252,after mid-term\dataset\295\schubert\schumm-3.mid,f,Aeolian
253,253,after mid-term\dataset\295\schubert\schumm-4.mid,c#,Aeolian
254,254,after mid-term\dataset\295\schubert\schumm-5.mid,f,Phrygian
255,255,after mid-term\dataset\295\schubert\schumm-6.mid,C#,Ionian
256,256,after mid-term\dataset\295\schubert\schu_143_1.mid,a,Harmonic_minor
257,257,after mid-term\dataset\295\schubert\schu_143_2.mid,F,Ionian
258,258,after mid-term\dataset\295\schubert\schu_143_3.mid,a,Aeolian
259,259,after mid-term\dataset\295\schumann\schum_abegg.mid,F,Ionian
260,260,after mid-term\dataset\295\schumann\scn15_1.mid,G,Ionian
261,261,after mid-term\dataset\295\schumann\scn15_10.mid,g#,Aeolian
262,262,after mid-term\dataset\295\schumann\scn15_11.mid,G,Ionian
263,263,after mid-term\dataset\295\schumann\scn15_12.mid,e,Dorian
264,264,after mid-term\dataset\295\schumann\scn15_13.mid,G,Ionian
265,265,after mid-term\dataset\295\schumann\scn15_2.mid,D,Ionian
266,266,after mid-term\dataset\295\schumann\scn15_3.mid,e,Aeolian
267,267,after mid-term\dataset\295\schumann\scn15_4.mid,D,Ionian
268,268,after mid-term\dataset\295\schumann\scn15_5.mid,D,Ionian
269,269,after mid-term\dataset\295\schumann\scn15_6.mid,D,Ionian
270,270,after mid-term\dataset\295\schumann\scn15_7.mid,F,Ionian
271,271,after mid-term\dataset\295\schumann\scn15_8.mid,F,Ionian
272,272,after mid-term\dataset\295\schumann\scn15_9.mid,C,Mixolydian
273,273,after mid-term\dataset\295\schumann\scn16_1.mid,g,Aeolian
274,274,after mid-term\dataset\295\schumann\scn16_2.mid,B-,Ionian
275,275,after mid-term\dataset\295\schumann\scn16_3.mid,g,Aeolian
276,276,after mid-term\dataset\295\schumann\scn16_4.mid,g,Aeolian
277,277,after mid-term\dataset\295\schumann\scn16_5.mid,B-,Ionian
278,278,after mid-term\dataset\295\schumann\scn16_6.mid,B-,Ionian
279,279,after mid-term\dataset\295\schumann\scn16_7.mid,c,Dorian
280,280,after mid-term\dataset\295\schumann\scn16_8.mid,g,Aeolian
281,281,after mid-term\dataset\295\schumann\scn68_10.mid,F,Ionian
282,282,after mid-term\dataset\295\schumann\scn68_12.mid,a,Phrygian
283,283,after mid-term\dataset\295\tschai\ty_april.mid,g,Aeolian
284,284,after mid-term\dataset\295\tschai\ty_august.mid,b,Harmonic_minor
285,285,after mid-term\dataset\295\tschai\ty_dezember.mid,A-,Ionian
286,286,after mid-term\dataset\295\tschai\ty_februar.mid,d,Ionian
287,287,after mid-term\dataset\295\tschai\ty_januar.mid,e,Dorian
288,288,after mid-term\dataset\295\tschai\ty_juli.mid,E-,Lydian
289,289,after mid-term\dataset\295\tschai\ty_juni.mid,g,Harmonic_minor
290,290,after mid-term\dataset\295\tschai\ty_maerz.mid,g,Harmonic_minor
291,291,after mid-term\dataset\295\tschai\ty_mai.mid,D,Ionian
292,292,after mid-term\dataset\295\tschai\ty_november.mid,E,Ionian
293,293,after mid-term\dataset\295\tschai\ty_oktober.mid,d,Harmonic_minor
294,294,after mid-term\dataset\295\tschai\ty_september.mid,G,Ionian
295,295,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi,G,Ionian
296,296,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi,C,Ionian
297,297,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi,d,Aeolian
298,298,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi,C,Ionian
299,299,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi,c#,Harmonic_minor
300,300,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_03_Track03_wav.midi,C,Ionian
301,301,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi,A,Marva
302,302,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_02_Track02_wav.midi,f,Aeolian
303,303,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_04_Track04_wav.midi,C#,Ionian
304,304,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_06_Track06_wav.midi,b-,Dorian
305,305,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi,e-,Phrygian
306,306,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_03_Track03_wav--1.midi,F,Ionian
307,307,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_07_Track07_wav.midi,g,Phrygian
308,308,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.midi,D,Ionian
309,309,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.midi,A-,Mixolydian
310,310,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_10_Track10_wav.midi,A,Marva
311,311,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_02_Track02_wav.midi,d,Harmonic_minor
312,312,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_05_Track05_wav.midi,E-,Ionian
313,313,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_08_Track08_wav.midi,C,Ionian
314,314,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_09_Track09_wav.midi,F,Ionian
315,315,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_10_Track10_wav.midi,C,Ionian
316,316,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_12_Track12_wav.midi,A-,Ionian
317,317,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_02_Track02_wav.midi,c#,Aeolian
318,318,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_03_Track03_wav.midi,e-,Aeolian
319,319,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_04_Track04_wav.midi,G,Bhairav
320,320,after mid-term\dataset\dataset\2004\MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_05_Track05_wav.midi,g#,Aeolian
